date,direction,speed
2017-09-18,248,18.0
2017-09-19,266,24.0
2017-09-20,266,18.0
2017-09-21,291,12.0
2017-09-22,221,7.0
2017-09-23,212,7.0
2017-09-24,241,10.0
2017-09-25,309,12.0
2017-09-26,329,10.0
2017-09-27,284,8.0
2017-09-28,186,6.0
2017-09-29,213,5.0
2017-09-30,183,6.0
2017-10-01,172,5.0
2017-10-02,180,7.0
2017-10-03,167,7.0
2017-10-04,163,8.0
2017-10-05,191,6.0
2017-10-06,106,4.0
2017-10-07,167,8.0
2017-10-08,153,13.0
2017-10-09,155,12.0
2017-10-10,154,12.0
2017-10-11,158,12.0
2017-10-12,158,12.0
2017-10-13,168,12.0
2017-10-14,167,12.0
2017-10-15,198,12.0
2017-10-16,164,11.0
2017-10-17,179,7.0
2017-10-18,190,6.0
2017-10-19,194,6.0
2017-10-20,184,8.0
2017-10-21,181,8.0
2017-10-22,184,8.0
2017-10-23,174,8.0
2017-10-24,204,7.0
2017-10-25,145,7.0
2017-10-26,132,9.0
2017-10-27,164,8.0
2017-10-28,154,8.0
2017-10-29,159,9.0
2017-10-30,120,10.0
2017-10-31,128,11.0
2017-11-01,86,9.0
2017-11-02,159,10.0
2017-11-03,94,12.0
2017-11-04,92,13.0
2017-11-05,82,14.0
2017-11-06,134,9.0
2017-11-07,152,9.0
2017-11-08,155,9.0
2017-11-09,150,8.0
2017-11-10,158,10.0
2017-11-11,160,12.0
2017-11-12,157,11.0
2017-11-13,178,10.0
2017-11-14,213,10.0
2017-11-15,199,10.0
2017-11-16,168,9.0
2017-11-17,155,9.0
2017-11-18,153,9.0
2017-11-19,118,7.0
2017-11-20,143,6.0
2017-11-21,152,9.0
2017-11-22,158,9.0
2017-11-23,155,7.0
2017-11-24,168,9.0
2017-11-25,100,8.0
2017-11-26,86,11.0
2017-11-27,116,11.0
2017-11-28,156,11.0
2017-11-29,118,12.0
2017-11-30,91,12.0
2017-12-01,73,14.0
2017-12-02,100,16.0
2017-12-03,131,15.0
2017-12-04,144,17.0
2017-12-05,161,18.0
2017-12-06,175,8.0
2017-12-07,214,10.0
2017-12-08,163,10.0
2017-12-09,162,9.0
2017-12-10,144,8.0
2017-12-11,222,10.0
2017-12-12,209,10.0
2017-12-13,250,13.0
2017-12-14,170,13.0
2017-12-15,152,9.0
2017-12-16,56,12.0
2017-12-17,77,17.0
2017-12-18,77,14.0
2017-12-19,100,14.0
2017-12-20,133,14.0
2017-12-21,104,15.0
2017-12-22,128,14.0
2017-12-23,123,12.0
2017-12-24,122,11.0
2017-12-25,121,12.0
2017-12-26,122,10.0
