date,direction,speed
2013-07-07,237,5.0
2013-07-08,234,5.0
2013-07-09,211,8.0
2013-07-10,236,7.0
2013-07-11,237,7.0
2013-07-12,212,8.0
2013-07-13,224,10.0
2013-07-14,210,8.0
2013-07-15,128,13.0
2013-07-16,165,8.0
2013-07-17,102,5.0
2013-07-18,242,13.0
2013-07-19,225,21.0
2013-07-20,34,10.0
2013-07-21,117,7.0
2013-07-22,148,6.0
2013-07-23,157,7.0
2013-07-24,117,7.0
2013-07-25,139,9.0
2013-07-26,126,8.0
2013-07-27,87,6.0
2013-07-28,156,8.0
2013-07-29,209,7.0
2013-07-30,29,7.0
2013-07-31,83,8.0
2013-08-01,88,8.0
2013-08-02,58,8.0
2013-08-03,221,4.0
2013-08-04,188,8.0
2013-08-05,168,7.0
2013-08-06,186,6.0
2013-08-07,227,6.0
2013-08-08,228,7.0
2013-08-09,204,7.0
2013-08-10,279,7.0
2013-08-11,233,5.0
2013-08-12,236,6.0
2013-08-13,228,7.0
2013-08-14,94,7.0
2013-08-15,178,10.0
2013-08-16,195,11.0
2013-08-17,197,12.0
2013-08-18,195,13.0
2013-08-19,191,11.0
2013-08-20,217,7.0
2013-08-21,169,7.0
2013-08-22,177,6.0
2013-08-23,222,7.0
2013-08-24,294,10.0
2013-08-25,236,9.0
2013-08-26,212,11.0
2013-08-27,160,6.0
2013-08-28,288,9.0
2013-08-29,155,7.0
2013-08-30,254,11.0
2013-08-31,128,8.0
2013-09-01,189,5.0
2013-09-02,90,6.0
2013-09-03,133,13.0
2013-09-04,172,19.0
2013-09-05,167,9.0
2013-09-06,222,9.0
2013-09-07,101,8.0
2013-09-08,193,9.0
2013-09-09,212,10.0
2013-09-10,157,9.0
2013-09-11,165,10.0
2013-09-12,180,4.0
2013-09-13,169,7.0
2013-09-14,185,11.0
2013-09-15,172,12.0
2013-09-16,206,22.0
2013-09-17,190,9.0
2013-09-18,184,7.0
2013-09-19,181,9.0
2013-09-20,204,11.0
2013-09-21,209,9.0
2013-09-22,176,11.0
2013-09-23,79,13.0
2013-09-24,169,11.0
2013-09-25,199,10.0
2013-09-26,257,18.0
2013-09-27,201,13.0
2013-09-28,151,9.0
2013-09-29,150,9.0
2013-09-30,53,8.0
2013-10-01,195,8.0
2013-10-02,142,14.0
2013-10-03,309,12.0
2013-10-04,160,10.0
2013-10-05,42,7.0
2013-10-06,109,8.0
2013-10-07,109,8.0
2013-10-08,194,9.0
2013-10-09,193,22.0
2013-10-10,216,10.0
2013-10-11,176,17.0
2013-10-12,283,16.0
2013-10-13,293,19.0
2013-10-14,214,11.0
2013-10-15,164,11.0
2013-10-16,191,24.0
2013-10-17,304,11.0
2013-10-18,156,7.0
2013-10-19,64,7.0
2013-10-20,71,14.0
2013-10-21,182,13.0
2013-10-22,68,14.0
2013-10-23,87,12.0
2013-10-24,117,9.0
2013-10-25,169,15.0
